id1,id2,weight
id68,id153,4
id68,id147,7
id40,id29,1
id40,id42,2
id40,id103,2
id40,id161,2
id40,id147,3
id40,id153,3
id40,id138,1
id40,id114,1
id40,id39,2
id40,id66,1
id174,id172,6
id174,id116,1
id174,id173,4
id52,id91,9
id52,id48,71
id52,id31,50
id52,id53,7
id52,id38,15
id52,id33,33
id52,id51,4
id52,id29,22
id52,id178,12
id52,id203,9
id52,id121,20
id52,id151,1
id52,id66,4
id52,id32,17
id52,id39,19
id52,id150,1
id52,id133,1
id52,id103,6
id52,id42,2
id52,id147,2
id52,id165,3
id52,id27,1
id52,id14,13
id52,id56,7
id52,id136,16
id52,id88,7
id52,id49,2
id52,id97,5
id52,id117,1
id52,id166,5
id47,id127,1
id47,id155,17
id47,id203,32
id180,id173,10
id180,id56,5
id180,id28,3
id180,id88,12
id25,id23,170
id25,id24,91
id21,id98,21
id21,id170,2
id21,id72,36
id21,id20,62
id21,id171,3
id21,id114,3
id21,id91,21
id21,id107,1
id21,id23,24
id28,id119,72
id28,id205,2
id28,id38,5
id28,id90,28
id28,id178,73
id28,id88,157
id28,id136,34
id28,id203,165
id28,id166,133
id28,id121,1
id28,id48,10
id28,id180,3
id28,id168,81
id28,id173,111
id28,id97,10
id28,id113,13
id28,id53,2
id28,id170,16
id28,id148,15
id28,id56,18
id28,id114,8
id28,id26,24
id28,id98,8
id28,id49,8
id28,id31,8
id28,id91,25
id28,id75,247
id28,id92,7
id28,id23,3
id51,id91,8
id51,id53,8
id51,id151,4
id51,id38,5
id51,id52,4
id51,id33,4
id51,id31,8
id51,id29,4
id51,id39,6
id51,id36,2
id51,id166,2
id51,id173,1
id51,id138,33
id51,id14,8
id51,id42,2
id51,id147,4
id51,id90,1
id51,id93,3
id51,id95,2
id51,id178,3
id51,id48,1
id173,id180,10
id173,id119,80
id173,id172,52
id173,id155,2
id173,id203,37
id173,id136,20
id173,id166,81
id173,id113,10
id173,id148,7
id173,id178,47
id173,id88,81
id173,id51,1
id173,id48,4
id173,id28,111
id173,id145,2
id173,id168,95
id173,id165,2
id173,id75,43
id173,id174,4
id173,id90,3
id173,id92,1
id105,id97,20
id105,id96,5
id105,id36,18
id105,id26,3
id105,id44,5
id105,id48,3
id105,id91,31
id105,id45,5
id105,id136,12
id105,id116,13
id109,id136,4
id153,id103,9
id153,id68,4
id153,id145,36
id153,id48,4
id153,id87,6
id153,id147,33
id153,id40,3
id153,id157,42
id153,id172,46
id153,id165,7
id153,id203,12
id153,id116,1
id188,id48,4
id135,id96,2
id135,id136,62
id135,id209,17
id135,id119,3
id44,id136,19
id44,id48,3
id44,id91,9
id44,id96,35
id44,id115,1
id44,id38,1
id44,id165,2
id44,id105,5
id157,id36,3
id157,id39,2
id157,id66,2
id157,id104,2
id157,id88,1
id157,id38,1
id157,id165,2
id157,id153,42
id157,id172,45
id157,id145,4
id94,id93,5
id71,id151,2
id79,id84,4
id79,id90,33
