id1,id2,weight
id68,id153,1.52
id68,id147,1.79
id40,id29,1.0
id40,id42,1.23
id40,id103,1.23
id40,id161,1.23
id40,id147,1.39
id40,id153,1.39
id40,id138,1.0
id40,id114,1.0
id40,id39,1.23
id40,id66,1.0
id174,id172,1.71
id174,id116,1.0
id174,id173,1.52
id52,id91,1.93
id52,id48,3.59
id52,id31,3.23
id52,id53,1.79
id52,id38,2.25
id52,id33,2.85
id52,id51,1.52
id52,id29,2.53
id52,id178,2.11
id52,id203,1.93
id52,id121,2.46
id52,id151,1.0
id52,id66,1.52
id52,id32,2.34
id52,id39,2.42
id52,id150,1.0
id52,id133,1.0
id52,id103,1.71
id52,id42,1.23
id52,id147,1.23
id52,id165,1.39
id52,id27,1.0
id52,id14,2.16
id52,id56,1.79
id52,id136,2.3
id52,id88,1.79
id52,id49,1.23
id52,id97,1.62
id52,id117,1.0
id52,id166,1.62
id47,id127,1.0
id47,id155,2.34
id47,id203,2.83
id180,id173,2.0
id180,id56,1.62
id180,id28,1.39
id180,id88,2.11
id25,id23,4.67
id25,id24,3.87
id21,id98,2.49
id21,id170,1.23
id21,id72,2.93
id21,id20,3.45
id21,id171,1.39
id21,id114,1.39
id21,id91,2.49
id21,id107,1.0
id21,id23,2.59
id28,id119,3.61
id28,id205,1.23
id28,id38,1.62
id28,id90,2.72
id28,id178,3.62
id28,id88,4.56
id28,id136,2.88
id28,id203,4.63
id28,id166,4.34
id28,id121,1.0
id28,id48,2.0
id28,id180,1.39
id28,id168,3.74
id28,id173,4.11
id28,id97,2.0
id28,id113,2.16
id28,id53,1.23
id28,id170,2.3
id28,id148,2.25
id28,id56,2.38
id28,id114,1.87
id28,id26,2.59
id28,id98,1.87
id28,id49,1.87
id28,id31,1.87
id28,id91,2.63
id28,id75,5.22
id28,id92,1.79
id28,id23,1.39
id51,id91,1.87
id51,id53,1.87
id51,id151,1.52
id51,id38,1.62
id51,id52,1.52
id51,id33,1.52
id51,id31,1.87
id51,id29,1.52
id51,id39,1.71
id51,id36,1.23
id51,id166,1.23
id51,id173,1.0
id51,id138,2.85
id51,id14,1.87
id51,id42,1.23
id51,id147,1.52
id51,id90,1.0
id51,id93,1.39
id51,id95,1.23
id51,id178,1.39
id51,id48,1.0
id173,id180,2.0
id173,id119,3.72
id173,id172,3.27
id173,id155,1.23
id173,id203,2.95
id173,id136,2.46
id173,id166,3.74
id173,id113,2.0
id173,id148,1.79
id173,id178,3.17
id173,id88,3.74
id173,id51,1.0
id173,id48,1.52
id173,id28,4.11
id173,id145,1.23
id173,id168,3.92
id173,id165,1.23
id173,id75,3.09
id173,id174,1.52
id173,id90,1.39
id173,id92,1.0
id105,id97,2.46
id105,id96,1.62
id105,id36,2.38
id105,id26,1.39
id105,id44,1.62
id105,id48,1.39
id105,id91,2.8
id105,id45,1.62
id105,id136,2.11
id105,id116,2.16
id109,id136,1.52
id153,id103,1.93
id153,id68,1.52
id153,id145,2.93
id153,id48,1.52
id153,id87,1.71
id153,id147,2.85
id153,id40,1.39
id153,id157,3.07
id153,id172,3.15
id153,id165,1.79
id153,id203,2.11
id153,id116,1.0
id188,id48,1.52
id135,id96,1.23
id135,id136,3.45
id135,id209,2.34
id135,id119,1.39
id44,id136,2.42
id44,id48,1.39
id44,id91,1.93
id44,id96,2.91
id44,id115,1.0
id44,id38,1.0
id44,id165,1.23
id44,id105,1.62
id157,id36,1.39
id157,id39,1.23
id157,id66,1.23
id157,id104,1.23
id157,id88,1.0
id157,id38,1.0
id157,id165,1.23
id157,id153,3.07
id157,id172,3.13
id157,id145,1.52
id94,id93,1.62
id71,id151,1.23
id79,id84,1.52
id79,id90,2.85
