id1,id2,weight
id35,id33,568.25
id35,id200,6.66
id35,id203,1796.77
id35,id4,120.83
id35,id169,3.09
id35,id125,244.95
id35,id172,366.77
id35,id86,515.78
id35,id67,110.4
id35,id136,608.88
id35,id18,314.59
id35,id154,44.59
id35,id34,54.95
id35,id19,3.9
id35,id103,245.68
id35,id32,554.88
id35,id74,29.53
id35,id198,224.5
id35,id148,159.09
id35,id51,197.74
id35,id31,220.98
id35,id123,108.63
id35,id38,343.6
id35,id84,10.3
id35,id138,502.56
id35,id53,395.98
id35,id157,261.73
id35,id122,22.42
id35,id28,490.81
id35,id168,255.78
id35,id180,87.63
id35,id26,165.8
id35,id173,255.58
id35,id98,24.23
id35,id132,118.48
id35,id55,244.09
id35,id29,437.82
id35,id152,128.96
id35,id15,83.05
id35,id39,151.11
id35,id88,776.92
id35,id14,382.84
id35,id36,317.44
id35,id99,47.97
id35,id85,113.56
id35,id48,467.05
id35,id52,70.52
id35,id91,320.52
id35,id118,45.0
id35,id166,39.94
id99,id33,55.46
id99,id203,312.86
id99,id178,58.18
id99,id64,35.51
id99,id145,44.73
id99,id136,104.18
id99,id152,5.69
id99,id14,48.9
id99,id32,44.04
id99,id36,43.34
id99,id53,83.16
id99,id85,30.18
id99,id18,35.51
id99,id15,6.34
id99,id35,47.97
id99,id29,48.24
id99,id55,14.59
id99,id148,7.27
id99,id103,50.21
id99,id114,12.76
id99,id205,15.46
id99,id165,82.53
id99,id87,28.87
id99,id42,2.16
id99,id147,33.05
id99,id151,8.7
id99,id113,24.23
id99,id118,21.11
id99,id109,11.56
id180,id178,333.86
id180,id166,169.78
id180,id172,290.07
id180,id173,354.14
id180,id161,119.84
id180,id103,104.56
id180,id26,332.46
id180,id119,285.8
id180,id163,68.93
id180,id174,27.19
id180,id28,336.75
id180,id168,235.8
id180,id155,132.26
id180,id203,1347.77
id180,id116,245.74
id180,id98,135.26
id180,id38,112.36
id180,id56,243.75
id180,id97,94.62
id180,id105,37.31
id180,id149,31.63
id180,id122,29.04
id180,id35,87.63
id180,id27,68.02
id180,id136,546.07
id180,id171,44.45
id180,id21,24.94
id180,id114,231.95
id180,id137,26.34
id180,id134,27.19
id180,id53,98.86
id180,id33,146.85
id180,id52,23.15
id180,id71,65.82
id180,id88,337.91
id180,id31,82.0
id180,id145,161.71
id180,id48,240.16
id180,id195,19.96
id180,id75,290.99
id180,id81,175.86
id127,id98,77.93
id127,id163,55.33
id127,id53,34.9
id127,id52,6.02
id127,id31,33.52
id127,id202,342.57
id127,id47,12.05
id127,id38,30.02
id127,id33,38.35
id127,id51,17.57
id127,id29,18.38
id127,id141,5.69
id127,id96,36.87
id127,id91,404.94
id127,id114,101.19
id127,id203,1138.96
id127,id44,38.78
id127,id136,275.3
id127,id48,106.46
id127,id75,222.43
id127,id178,105.61
id127,id119,219.73
id127,id26,89.89
id127,id132,5.01
id127,id145,32.89
id127,id18,14.81
id127,id105,59.77
id127,id116,173.71
id41,id30,1.62
id41,id172,1.62
id41,id121,1.62
id41,id90,1.62
id41,id40,2.64
id155,id203,4448.28
