id1,id2,weight
id23,id62,1.23
id23,id163,1.0
id23,id24,1.39
id23,id25,1.0
id23,id145,1.0
id23,id100,1.52
id23,id124,1.0
id23,id91,1.39
id23,id107,1.0
id23,id21,1.0
id23,id72,1.0
id23,id84,1.0
id23,id136,1.0
id23,id48,1.23
id23,id166,1.0
id169,id203,1.0
id169,id86,1.0
id105,id97,1.52
id105,id96,1.0
id105,id36,1.0
id105,id48,1.0
id105,id45,1.0
id105,id136,1.0
id166,id28,2.59
id166,id152,1.0
id166,id173,1.79
id166,id51,1.0
id166,id121,1.0
id166,id88,3.13
id166,id31,1.0
id166,id90,1.62
id166,id170,1.39
id166,id178,1.0
id166,id92,1.0
id166,id172,1.62
id166,id168,1.23
id166,id76,1.0
id166,id91,1.52
id166,id75,1.0
id166,id116,1.0
id166,id81,1.0
id166,id48,1.0
id166,id23,1.0
id146,id203,1.0
id171,id97,1.0
id171,id3,1.23
id171,id161,1.0
id173,id180,1.0
id173,id155,1.23
id173,id172,1.79
id173,id203,1.23
id173,id136,1.0
id173,id113,1.39
id173,id148,1.39
id173,id178,1.39
id173,id166,1.79
id173,id51,1.0
id173,id48,1.23
id173,id88,2.46
id173,id28,1.79
id173,id145,1.0
id173,id168,1.0
id173,id75,1.39
id173,id119,1.0
id173,id174,1.0
id173,id90,1.0
id45,id38,1.0
id45,id183,1.0
id45,id91,2.16
id45,id84,1.71
id45,id105,1.0
id114,id49,1.23
id114,id136,2.05
id114,id21,1.0
id114,id88,1.0
id114,id148,1.0
id114,id150,1.39
id114,id170,1.0
id114,id28,1.0
id114,id203,2.16
id114,id155,1.0
id114,id39,1.0
id114,id91,1.23
id135,id136,1.0
id4,id172,1.0
id4,id56,1.52
id4,id98,1.23
id4,id7,1.71
id18,id19,1.23
id18,id203,2.3
id18,id49,1.23
id18,id35,1.39
id18,id29,1.0
id18,id154,1.0
id18,id145,1.39
id18,id132,1.23
id18,id152,1.23
id18,id140,1.23
id18,id48,1.39
id18,id87,1.0
id18,id32,1.23
id79,id90,1.0
id48,id52,2.59
id48,id49,2.25
id48,id145,1.79
id48,id178,1.79
id48,id103,1.93
id48,id170,1.0
id48,id28,1.23
id48,id88,1.0
id48,id91,1.52
id48,id148,1.23
id48,id203,2.75
id48,id136,2.75
id48,id32,1.0
id48,id173,1.23
id48,id110,1.23
id48,id18,1.39
id48,id155,1.0
id48,id140,1.0
id48,id147,1.0
id48,id165,1.52
id48,id150,1.0
id48,id38,1.23
id48,id56,1.71
id48,id113,1.39
id48,id105,1.0
id48,id23,1.23
id48,id166,1.0
id47,id127,1.0
id47,id155,1.0
id147,id103,1.62
id147,id165,1.39
id147,id39,1.0
id147,id52,1.0
id147,id31,1.0
id147,id51,1.0
id147,id42,1.23
id147,id87,1.39
id147,id153,2.38
id147,id48,1.0
id147,id203,1.23
id147,id145,1.0
id100,id23,1.52
id100,id24,1.23
id156,id203,1.0
id56,id26,2.42
id56,id38,1.52
id56,id136,1.52
id56,id32,1.0
id56,id149,1.87
id56,id203,1.52
id56,id168,1.0
id56,id4,1.52
id56,id98,2.38
id56,id195,1.0
id56,id137,1.23
id56,id134,1.0
id56,id33,1.0
id56,id28,1.79
id56,id52,1.23
id56,id172,1.0
id56,id48,1.71
id56,id88,1.62
id56,id178,1.62
id56,id97,1.23
id56,id151,1.0
id56,id119,1.0
id36,id51,1.0
id36,id53,1.23
id36,id157,1.23
id36,id64,1.39
id36,id105,1.0
id168,id178,1.39
id168,id203,1.52
id168,id26,1.52
id168,id56,1.0
id168,id38,1.0
id168,id119,1.23
id168,id173,1.0
id168,id145,1.0
id168,id166,1.23
id168,id88,1.52
id168,id28,1.39
id168,id92,1.0
id31,id53,1.52
id31,id33,1.0
id31,id51,1.23
id31,id29,1.0
id31,id14,1.0
id31,id121,1.0
id31,id166,1.0
id31,id52,1.0
id31,id42,1.0
id31,id147,1.0
id31,id103,1.0
id31,id97,1.0
id31,id28,1.23
id19,id18,1.23
id176,id53,1.0
id113,id203,3.13
id113,id173,1.39
id113,id165,1.62
id113,id136,1.23
id113,id28,1.39
id113,id91,1.23
id113,id178,1.23
id113,id48,1.39
id113,id172,1.0
id113,id116,1.39
id113,id119,1.39
id182,id88,1.23
id182,id33,1.0
id195,id125,1.0
id195,id56,1.0
id137,id56,1.23
id7,id74,1.39
id7,id165,2.56
id7,id38,1.0
id7,id151,1.39
id7,id8,1.23
id7,id4,1.71
id7,id88,2.25
id7,id141,1.23
id7,id103,1.0
id7,id33,1.0
id151,id170,1.0
id151,id53,1.23
id151,id29,1.0
id151,id203,1.23
id151,id74,1.0
id151,id7,1.39
id151,id125,1.0
id151,id87,1.0
id151,id103,1.0
id151,id56,1.0
id167,id203,1.0
id38,id165,2.34
id38,id203,2.0
id38,id163,1.0
id38,id125,1.23
id38,id56,1.52
id38,id32,1.23
id38,id103,1.39
id38,id28,1.23
id38,id52,1.39
id38,id33,1.0
id38,id51,1.23
id38,id53,1.23
id38,id7,1.0
id38,id87,1.62
id38,id168,1.0
id38,id14,1.0
id38,id157,1.0
id38,id88,1.0
id38,id148,1.23
id38,id48,1.23
id38,id49,1.0
id38,id91,1.0
id38,id45,1.0
id150,id50,1.23
id150,id136,1.93
id150,id96,1.23
id150,id48,1.0
id150,id114,1.39
id104,id157,1.0
id104,id163,1.0
id26,id172,1.79
id26,id98,2.21
id26,id88,1.0
id26,id56,2.42
id26,id119,1.79
id26,id168,1.52
id26,id170,1.52
id26,id149,1.79
id26,id178,1.0
id26,id28,1.39
id26,id145,1.23
id26,id50,1.0
id118,id136,1.62
id118,id53,1.0
id118,id85,1.39
id148,id178,1.52
id148,id173,1.39
id148,id48,1.23
id148,id203,1.23
id148,id38,1.23
id148,id165,1.23
id148,id35,1.0
id148,id114,1.0
id148,id49,1.23
id148,id119,1.0
id148,id88,1.23
id148,id28,1.0
id121,id52,1.39
id121,id31,1.0
id121,id32,1.39
id121,id66,1.0
id121,id166,1.0
id121,id172,1.79
id121,id30,1.23
id102,id152,1.0
id134,id86,1.0
id134,id57,1.0
id134,id56,1.0
id172,id174,1.52
id172,id26,1.79
id172,id173,1.79
id172,id30,1.87
id172,id4,1.0
id172,id56,1.0
id172,id113,1.0
id172,id136,1.0
id172,id153,1.23
id172,id157,1.0
id172,id145,1.23
id172,id121,1.79
id172,id166,1.62
id172,id95,1.23
id172,id138,1.0
id172,id203,1.0
id98,id26,2.21
id98,id88,1.79
id98,id197,1.0
id98,id56,2.38
id98,id4,1.23
id98,id178,1.71
id98,id163,1.0
id98,id28,1.62
id98,id103,1.23
id98,id97,1.23
id178,id168,1.39
