id1,id2,weight
id74,id7,22
id74,id151,5
id74,id103,1
id74,id203,1
id74,id165,1
id74,id87,2
id180,id172,2
id180,id174,1
id180,id173,1
id180,id26,1
id180,id56,3
id180,id28,8
id180,id136,1
id180,id168,1
id180,id178,1
id180,id88,12
id180,id75,3
id115,id96,3
id115,id150,1
id115,id44,2
id115,id136,5
id115,id203,4
id115,id114,1
id134,id86,1
id134,id57,1
id134,id56,4
id198,id35,8
id198,id18,1
id165,id38,32
id165,id203,89
id165,id7,60
id165,id172,2
id165,id178,8
id165,id87,6
id165,id136,3
id165,id8,2
id165,id155,1
id165,id103,7
id165,id147,10
id165,id91,15
id165,id113,14
id165,id30,2
id165,id138,2
id165,id107,1
id165,id170,2
id165,id88,5
id165,id48,17
id165,id97,1
id165,id31,1
id165,id52,2
id165,id121,1
id165,id167,2
id165,id104,1
id165,id157,1
id165,id145,3
id165,id148,5
id165,id64,2
id165,id119,2
id165,id173,1
id165,id56,2
id165,id96,1
id165,id44,1
id165,id49,1
id165,id27,3
id165,id53,1
id165,id122,1
id165,id74,1
id165,id153,9
id28,id119,11
id28,id205,1
id28,id166,42
id28,id173,24
id28,id172,2
id28,id38,2
id28,id90,11
id28,id178,29
id28,id88,60
id28,id136,13
id28,id203,39
id28,id26,19
id28,id121,1
id28,id48,7
id28,id145,1
id28,id168,20
id28,id180,8
id28,id64,1
id28,id18,1
id28,id97,2
id28,id113,20
id28,id53,1
id28,id170,4
id28,id56,12
id28,id148,9
id28,id33,1
id28,id114,4
id28,id49,6
id28,id155,4
id28,id98,5
id28,id52,1
id28,id31,6
id28,id91,4
id28,id75,17
id28,id116,1
id28,id92,1
id28,id84,1
id28,id23,1
id32,id38,6
id32,id53,3
id32,id136,2
id32,id56,3
id32,id90,1
id32,id121,12
id32,id52,11
id32,id203,5
id32,id48,6
id32,id147,1
id32,id138,1
id32,id51,1
id32,id178,5
id32,id39,3
id32,id33,1
id32,id18,8
id32,id35,1
id32,id103,1
id32,id14,1
id32,id157,2
id32,id145,1
id32,id137,1
id105,id97,5
id105,id96,5
id105,id136,10
id105,id36,2
id105,id91,4
id105,id203,2
id105,id26,1
id105,id44,1
id105,id48,1
id105,id23,1
id105,id45,2
id105,id116,1
id13,id53,3
id140,id203,6
id140,id18,3
id140,id48,1
id140,id205,1
id194,id92,1
id8,id165,2
id8,id7,4
id8,id87,11
id8,id103,4
id8,id147,4
id8,id42,4
id8,id33,1
id39,id36,6
id39,id48,3
id39,id49,1
id39,id51,2
id39,id53,5
id39,id14,4
id39,id32,3
id39,id52,3
id39,id15,1
id39,id147,1
id39,id31,1
id39,id154,1
id39,id157,1
id39,id66,3
id39,id121,1
id39,id136,4
id39,id86,1
id39,id178,2
id39,id30,1
id39,id133,1
id39,id203,1
id39,id114,1
id39,id40,1
id39,id42,1
id39,id103,1
id39,id161,1
id94,id93,2
id124,id33,2
id124,id145,2
id124,id85,2
id124,id23,1
id124,id202,1
id124,id18,1
id124,id48,2
id124,id203,1
id124,id103,1
id124,id53,1
id124,id118,1
id102,id152,2
id102,id146,21
id58,id48,2
id58,id136,1
id172,id174,4
id172,id180,2
id172,id26,15
id172,id173,17
id172,id119,1
id172,id163,4
id172,id161,5
id172,id98,2
id172,id136,6
id172,id19,3
id172,id28,2
id172,id165,2
id172,id30,11
id172,id121,17
id172,id125,1
id172,id4,2
id172,id203,9
id172,id53,1
id172,id29,1
id172,id18,1
id172,id104,1
id172,id103,2
id172,id56,1
id172,id113,11
id172,id44,1
id172,id150,1
id172,id153,3
id172,id145,3
id172,id157,1
id172,id166,15
id172,id155,1
id172,id95,2
id172,id138,1
id68,id153,4
id68,id40,1
id68,id147,1
id31,id53,8
id31,id52,4
id31,id38,3
id31,id33,3
id31,id51,3
id31,id29,5
id31,id123,1
id31,id121,2
id31,id14,1
id31,id138,3
id31,id166,3
id31,id36,1
id31,id42,1
id31,id147,2
id31,id90,1
id31,id165,1
id31,id39,1
id31,id203,16
id31,id153,1
id31,id48,3
id31,id103,2
id31,id155,1
id31,id88,2
id31,id97,1
id31,id28,6
id31,id56,1
id31,id18,1
id31,id49,1
id31,id136,2
id31,id161,1
id117,id203,4
id117,id145,1
