id1,id2,weight
id35,id33,55
id35,id200,5
id35,id203,48
id35,id4,20
id35,id169,5
id35,id125,50
id35,id172,6
id35,id86,5
id35,id67,10
id35,id136,103
id35,id18,268
id35,id154,32
id35,id34,36
id35,id19,2
id35,id103,16
id35,id32,34
id35,id74,4
id35,id198,38
id35,id148,13
id35,id51,1
id35,id31,1
id35,id123,1
id35,id38,2
id35,id84,1
id35,id138,4
id35,id53,50
id35,id157,4
id35,id122,1
id35,id28,4
id35,id168,1
id35,id180,4
id35,id26,2
id35,id173,3
id35,id98,6
id35,id132,28
id35,id55,39
id35,id29,60
id35,id152,33
id35,id15,27
id35,id39,3
id35,id88,8
id35,id14,144
id35,id36,15
id35,id99,12
id35,id85,15
id35,id48,2
id35,id52,1
id35,id91,1
id35,id118,3
id35,id166,6
id99,id33,6
id99,id203,7
id99,id178,5
id99,id64,10
id99,id145,6
id99,id136,29
id99,id152,2
id99,id14,12
id99,id32,2
id99,id36,1
id99,id53,10
id99,id85,1
id99,id18,3
id99,id15,2
id99,id35,12
id99,id29,5
id99,id55,2
id99,id148,1
id99,id103,7
id99,id114,1
id99,id205,1
id99,id165,1
id99,id87,6
id99,id42,2
id99,id147,2
id99,id151,1
id99,id113,3
id99,id118,2
id99,id109,1
id180,id178,13
id180,id166,5
id180,id172,97
id180,id173,74
id180,id161,9
id180,id103,8
id180,id26,179
id180,id119,72
id180,id163,8
id180,id174,12
id180,id28,42
id180,id168,68
id180,id155,2
id180,id203,5
id180,id116,1
id180,id98,30
id180,id38,10
id180,id56,61
id180,id97,9
id180,id105,3
id180,id149,3
id180,id122,4
id180,id35,4
id180,id27,2
id180,id136,9
id180,id171,2
id180,id21,2
id180,id114,1
id180,id137,2
id180,id134,2
id180,id53,2
id180,id33,1
id180,id52,2
id180,id71,1
id180,id88,58
id180,id31,4
id180,id145,1
id180,id48,2
id180,id195,1
id180,id75,5
id180,id81,1
id127,id98,17
id127,id163,2
id127,id53,3
id127,id52,2
id127,id31,18
id127,id202,3
id127,id47,1
id127,id38,1
id127,id33,1
id127,id51,1
id127,id29,1
id127,id141,1
id127,id96,13
id127,id91,1
id127,id114,1
id127,id203,38
id127,id44,23
id127,id136,5
id127,id48,4
id127,id75,32
id127,id178,8
id127,id119,8
id127,id26,16
id127,id132,1
id127,id145,10
id127,id18,1
id127,id105,14
id127,id116,12
id41,id30,1
id41,id172,1
id41,id121,1
id41,id90,1
id41,id40,2
id155,id203,3490
id155,id28,127
id155,id180,2
id155,id205,29
id155,id178,345
id155,id161,402
id155,id172,241
id155,id119,30
id155,id26,18
id155,id168,38
id155,id19,77
id155,id50,315
id155,id136,654
id155,id173,168
id155,id150,58
id155,id114,91
id155,id56,31
id155,id145,30
id155,id97,6
id155,id29,2
id155,id53,8
id155,id6,2
id155,id87,5
id155,id91,54
id155,id51,10
id155,id151,4
id155,id113,145
id155,id138,34
id155,id181,6
id155,id148,110
id155,id88,157
id155,id48,353
id155,id49,57
id155,id98,30
id155,id39,11
id155,id36,2
id155,id107,4
id155,id18,1
id155,id38,66
id155,id165,113
id155,id103,66
id155,id147,7
id155,id32,17
id155,id124,1
id155,id170,17
id155,id153,1
id155,id166,19
id155,id4,1
id155,id72,3
id155,id52,62
id155,id121,1
id155,id90,52
id155,id14,5
id155,id47,5
id155,id125,6
id155,id110,81
id155,id40,2
id155,id42,7
id155,id96,13
id155,id44,14
id155,id115,3
id155,id105,1
id155,id57,1
id155,id31,46
id155,id162,6
id155,id122,5
id155,id140,3
id155,id27,2
id155,id76,6
id155,id66,3
id155,id135,1
id155,id209,1
id155,id33,3
id155,id7,1
id155,id8,1
id155,id75,1
id155,id64,6
id155,id116,18
id155,id143,1
id155,id37,1
id155,id92,1
id155,id112,5
id155,id79,3
id155,id183,6
id155,id202,1
id155,id194,2
id3,id56,19
id3,id173,39
id3,id26,6
id3,id136,6
id3,id5,56
id3,id178,10
id3,id163,6
id3,id20,2
id3,id119,2
id3,id38,4
id3,id103,2
id3,id113,2
id3,id171,6
id3,id168,4
id3,id23,2
id3,id203,72
id3,id98,10
id118,id198,1
id118,id151,4
id118,id166,4
id118,id18,15
id118,id172,1
id118,id29,27
id118,id86,1
id118,id136,215
id118,id152,5
id118,id85,35
id118,id35,3
id118,id36,1
id118,id138,1
id118,id99,2
id118,id109,2
id118,id107,8
id118,id125,2
id118,id203,7
id118,id161,4
id118,id202,1
id118,id31,1
id118,id103,6
id118,id53,4
id118,id164,1
id118,id95,2
id118,id90,1
id118,id92,1
id118,id48,2
id118,id124,1
id118,id91,1
id118,id185,1
id185,id118,1
id185,id92,1
id185,id91,5
id185,id124,1
id185,id48,2
id185,id202,2
id185,id203,3
id185,id95,2
id185,id151,1
id185,id85,1
id185,id53,4
id185,id164,1
id185,id31,1
id185,id161,5
id185,id103,8
id185,id90,2
id185,id136,11
id185,id145,1
id185,id170,1
id185,id84,1
id185,id105,26
id185,id116,2
id49,id155,57
id49,id91,48
id49,id48,624
id49,id39,36
id49,id203,379
id49,id98,32
id49,id114,59
id49,id18,13
id49,id138,12
id49,id107,48
id49,id36,25
id49,id136,401
id49,id88,180
id49,id148,82
id49,id28,143
id49,id172,24
id49,id170,10
id49,id165,12
id49,id52,49
id49,id145,17
id49,id125,13
id49,id147,2
id49,id103,11
id49,id31,4
id49,id53,3
id49,id13,1
id49,id32,11
id49,id166,16
id49,id178,123
id49,id119,10
id49,id115,8
id49,id96,1
id49,id44,2
id49,id38,3
id49,id140,1
id49,id26,4
id49,id173,10
id49,id110,2
id49,id14,2
id49,id157,2
id49,id23,3
id49,id100,1
id49,id66,1
id49,id56,20
id49,id76,4
id49,id51,1
id49,id102,1
id49,id152,1
id49,id85,1
id49,id124,1
id49,id202,1
id51,id138,332
id51,id65,3
id51,id203,103
id51,id205,8
id51,id91,45
id51,id53,42
id51,id151,8
id51,id113,9
id51,id155,10
id51,id52,45
id51,id31,8
id51,id202,1
id51,id127,1
id51,id47,2
id51,id38,11
id51,id33,10
id51,id29,13
id51,id141,3
id51,id148,6
id51,id178,44
id51,id88,28
id51,id28,7
id51,id173,6
id51,id39,14
id51,id36,3
id51,id18,2
id51,id35,1
id51,id123,7
id51,id84,1
id51,id103,21
id51,id172,2
id51,id166,10
id51,id14,22
id51,id97,4
id51,id27,5
id51,id136,28
id51,id69,4
id51,id42,6
id51,id40,2
id51,id146,2
id51,id48,69
id51,id176,2
id51,id4,4
id51,id87,3
id51,id95,5
id51,id64,38
id51,id32,9
id51,id121,14
id51,id90,5
id51,id145,12
id51,id96,11
id51,id150,14
id51,id44,3
id51,id115,1
id51,id105,1
id51,id57,1
id51,id147,8
id51,id30,12
id51,id165,34
id51,id93,4
id51,id102,3
id51,id167,8
id51,id152,1
id51,id111,6
id51,id71,2
id51,id86,2
id51,id157,1
id51,id92,1
id51,id170,7
id51,id122,4
id51,id74,1
id51,id114,1
id51,id116,2
id51,id135,1
id51,id49,1
id51,id134,1
id92,id51,1
id92,id33,1
id92,id71,1
id92,id203,60
id92,id28,52
id92,id151,2
id92,id14,1
id92,id166,91
id92,id88,81
id92,id111,1
id92,id53,6
id92,id103,15
id92,id29,1
id92,id86,1
id92,id52,3
id92,id170,6
id92,id136,20
id92,id148,1
id92,id160,2
id92,id194,2
id92,id91,403
id92,id107,8
id92,id23,8
id92,id21,8
id92,id72,8
id92,id84,11
id92,id96,8
id92,id116,286
id92,id90,57
id92,id81,12
id92,id161,4
id92,id202,8
id92,id31,1
id92,id164,1
id92,id95,2
id92,id48,4
id92,id124,1
id92,id118,1
id92,id85,1
id92,id185,1
id92,id205,12
id92,id178,35
id92,id155,1
id92,id112,5
id92,id64,2
id92,id79,3
id92,id39,6
id92,id75,67
id92,id114,6
id92,id173,47
id92,id168,10
id92,id115,2
id92,id44,1
id92,id105,1
id92,id153,10
id92,id113,69
id92,id156,1
id92,id119,1
id33,id99,6
id33,id203,38
id33,id178,14
id33,id64,2
id33,id145,161
id33,id136,98
id33,id125,93
id33,id32,17
id33,id165,15
id33,id18,63
id33,id90,2
id33,id4,12
id33,id200,3
id33,id172,6
id33,id67,6
id33,id35,55
id33,id86,5
id33,id169,3
id33,id117,1
id33,id52,42
id33,id48,20
id33,id28,33
id33,id53,22
id33,id31,11
id33,id202,1
id33,id127,1
id33,id47,1
id33,id38,16
id33,id51,10
id33,id29,9
id33,id141,3
id33,id91,10
id33,id123,3
id33,id166,36
id33,id121,1
id33,id14,23
id33,id119,13
id33,id26,15
id33,id27,13
id33,id39,7
id33,id87,2
id33,id132,30
id33,id154,4
id33,id34,4
id33,id55,4
id33,id198,2
id33,id170,34
id33,id88,55
id33,id56,13
id33,id124,8
id33,id104,1
id33,id113,1
id33,id98,1
id33,id151,2
id33,id71,2
id33,id103,9
id33,id111,2
id33,id182,42
id33,id152,2
id33,id36,5
id33,id85,1
id33,id15,2
id33,id148,5
id33,id168,4
id33,id92,1
id33,id180,1
id33,id147,3
id33,id74,3
id33,id114,3
id33,id96,3
id33,id7,3
id33,id8,3
id33,id155,3
id115,id91,3
id115,id84,2
id115,id150,39
id115,id113,14
id115,id202,13
id115,id203,124
id115,id173,1
id115,id168,2
id115,id119,13
id115,id128,5
id115,id96,12
id115,id44,6
id115,id136,54
id115,id105,8
id115,id172,2
id115,id155,3
id115,id57,1
id115,id51,1
id115,id31,2
id115,id170,1
id115,id88,7
id115,id28,6
id115,id166,2
id115,id114,4
id115,id48,38
id115,id49,8
id115,id103,1
id115,id145,1
id115,id178,10
id115,id148,2
id115,id83,1
id115,id205,1
id115,id92,2
id105,id180,3
id105,id56,39
id105,id149,9
id105,id97,63
id105,id26,122
id105,id65,38
id105,id53,5
id105,id84,14
id105,id91,44
id105,id27,20
id105,id14,8
id105,id4,4
id105,id96,64
id105,id150,45
id105,id44,79
id105,id115,8
id105,id136,117
id105,id203,322
id105,id172,1
id105,id155,1
id105,id57,1
id105,id51,1
id105,id36,5
id105,id178,9
id105,id38,4
id105,id48,8
id105,id52,12
id105,id31,2
id105,id138,2
id105,id83,5
id105,id114,7
id105,id205,5
id105,id92,1
id105,id23,2
id105,id45,3
id105,id156,3
id105,id116,88
id105,id127,14
id105,id113,5
id105,id28,1
id105,id119,2
id105,id174,1
id105,id81,1
id105,id185,26
id23,id203,73
id23,id53,23
id23,id163,29
id23,id5,7
id23,id62,28
id23,id202,7
id23,id161,22
id23,id164,7
id23,id103,33
id23,id88,45
id23,id26,16
id23,id166,9
id23,id138,6
id23,id98,11
id23,id173,6
id23,id172,3
id23,id119,9
id23,id167,3
id23,id100,46
id23,id24,127
id23,id25,10
id23,id7,8
id23,id38,8
id23,id32,5
id23,id71,3
id23,id56,18
id23,id136,38
id23,id116,27
id23,id4,1
id23,id165,4
id23,id31,3
id23,id121,1
id23,id28,9
id23,id48,21
id23,id145,42
id23,id91,69
id23,id44,6
id23,id107,4
id23,id150,3
id23,id178,23
id23,id75,6
id23,id74,1
id23,id113,2
id23,id195,1
id23,id125,2
id23,id86,1
id23,id3,2
id23,id171,6
id23,id168,6
id23,id144,1
id23,id170,1
id23,id208,2
id23,id72,2
id23,id67,1
id23,id49,3
id23,id39,11
id23,id52,2
id23,id66,2
id23,id102,1
id23,id152,1
id23,id85,1
id23,id124,1
id23,id18,1
id23,id21,1
id23,id84,4
id23,id96,1
id23,id92,8
id23,id90,36
id23,id105,2
id23,id114,1
id23,id205,5
id32,id39,107
id32,id178,53
id32,id14,46
id32,id38,35
id32,id164,5
id32,id53,76
id32,id71,15
id32,id56,66
id32,id136,155
id32,id116,5
id32,id23,5
id32,id4,5
id32,id165,32
id32,id26,8
id32,id203,586
id32,id98,6
id32,id125,35
id32,id18,345
id32,id33,17
id32,id90,12
id32,id121,48
id32,id145,124
id32,id52,142
id32,id103,31
id32,id74,4
id32,id34,6
id32,id35,34
id32,id104,3
id32,id87,2
id32,id155,17
id32,id147,18
id32,id124,1
id32,id157,40
id32,id172,17
id32,id48,442
id32,id138,47
id32,id88,93
id32,id170,7
id32,id40,14
id32,id66,8
id32,id31,17
id32,id20,2
