id1,id2,weight
id35,id33,3.33
id35,id200,1.62
id35,id203,3.19
id35,id4,2.46
id35,id169,1.62
id35,id125,3.23
id35,id172,1.71
id35,id86,1.62
id35,id67,2.0
id35,id136,4.02
id35,id18,5.35
id35,id154,2.83
id35,id34,2.93
id35,id19,1.23
id35,id103,2.3
id35,id32,2.88
id35,id74,1.52
id35,id198,2.98
id35,id148,2.16
id35,id51,1.0
id35,id31,1.0
id35,id123,1.0
id35,id38,1.23
id35,id84,1.0
id35,id138,1.52
id35,id53,3.23
id35,id157,1.52
id35,id122,1.0
id35,id28,1.52
id35,id168,1.0
id35,id180,1.52
id35,id26,1.23
id35,id173,1.39
id35,id98,1.71
id35,id132,2.72
id35,id55,3.0
id35,id29,3.42
id35,id152,2.85
id35,id15,2.69
id35,id39,1.39
id35,id88,1.87
id35,id14,4.44
id35,id36,2.25
id35,id99,2.11
id35,id85,2.25
id35,id48,1.23
id35,id52,1.0
id35,id91,1.0
id35,id118,1.39
id35,id166,1.71
id99,id33,1.71
id99,id203,1.79
id99,id178,1.62
id99,id64,2.0
id99,id145,1.71
id99,id136,2.75
id99,id152,1.23
id99,id14,2.11
id99,id32,1.23
id99,id36,1.0
id99,id53,2.0
id99,id85,1.0
id99,id18,1.39
id99,id15,1.23
id99,id35,2.11
id99,id29,1.62
id99,id55,1.23
id99,id148,1.0
id99,id103,1.79
id99,id114,1.0
id99,id205,1.0
id99,id165,1.0
id99,id87,1.71
id99,id42,1.23
id99,id147,1.23
id99,id151,1.0
id99,id113,1.39
id99,id118,1.23
id99,id109,1.0
id180,id178,2.16
id180,id166,1.62
id180,id172,3.94
id180,id173,3.64
id180,id161,1.93
id180,id103,1.87
id180,id26,4.74
id180,id119,3.61
id180,id163,1.87
id180,id174,2.11
id180,id28,3.07
id180,id168,3.55
id180,id155,1.23
id180,id203,1.62
id180,id116,1.0
id180,id98,2.77
id180,id38,2.0
id180,id56,3.43
id180,id97,1.93
id180,id105,1.39
id180,id149,1.39
id180,id122,1.52
id180,id35,1.52
id180,id27,1.23
id180,id136,1.93
id180,id171,1.23
id180,id21,1.23
id180,id114,1.0
id180,id137,1.23
id180,id134,1.23
id180,id53,1.23
id180,id33,1.0
id180,id52,1.23
id180,id71,1.0
id180,id88,3.38
id180,id31,1.52
id180,id145,1.0
id180,id48,1.23
id180,id195,1.0
id180,id75,1.62
id180,id81,1.0
id127,id98,2.34
id127,id163,1.23
id127,id53,1.39
id127,id52,1.23
id127,id31,2.38
id127,id202,1.39
id127,id47,1.0
id127,id38,1.0
id127,id33,1.0
id127,id51,1.0
id127,id29,1.0
id127,id141,1.0
id127,id96,2.16
id127,id91,1.0
id127,id114,1.0
id127,id203,2.98
id127,id44,2.56
id127,id136,1.62
id127,id48,1.52
id127,id75,2.83
id127,id178,1.87
id127,id119,1.87
id127,id26,2.3
id127,id132,1.0
id127,id145,2.0
id127,id18,1.0
id127,id105,2.21
id127,id116,2.11
id41,id30,1.0
id41,id172,1.0
id41,id121,1.0
id41,id90,1.0
id41,id40,1.23
id155,id203,11.56
id155,id28,4.28
id155,id180,1.23
id155,id205,2.75
id155,id178,5.77
id155,id161,6.04
id155,id172,5.18
id155,id119,2.77
id155,id26,2.38
id155,id168,2.98
id155,id19,3.68
id155,id50,5.62
id155,id136,6.99
id155,id173,4.65
id155,id150,3.38
id155,id114,3.87
id155,id56,2.8
id155,id145,2.77
id155,id97,1.71
id155,id29,1.23
id155,id53,1.87
id155,id6,1.23
id155,id87,1.62
id155,id91,3.31
id155,id51,2.0
id155,id151,1.52
id155,id113,4.45
id155,id138,2.88
id155,id181,1.71
id155,id148,4.1
id155,id88,4.56
id155,id48,5.81
id155,id49,3.36
id155,id98,2.77
id155,id39,2.05
id155,id36,1.23
id155,id107,1.52
id155,id18,1.0
id155,id38,3.51
id155,id165,4.13
id155,id103,3.51
id155,id147,1.79
id155,id32,2.34
id155,id124,1.0
