id1,id2,weight
id172,id173,6.32
id172,id203,8.19
id172,id23,1.41
id172,id4,3.0
id172,id95,2.24
id172,id91,2.24
id172,id121,8.06
id172,id30,5.29
id172,id177,1.0
id172,id125,3.32
id172,id7,2.0
id172,id74,1.41
id172,id47,1.0
id172,id136,4.69
id172,id180,2.45
id172,id171,2.24
id172,id116,1.41
id172,id114,2.24
id172,id84,1.73
id172,id165,2.45
id172,id178,2.83
id172,id48,2.65
id172,id26,4.8
id172,id183,1.0
id172,id119,4.69
id172,id104,2.45
id172,id148,1.0
id172,id145,1.41
id172,id38,3.16
id172,id56,3.87
id172,id39,2.45
id172,id111,1.0
id172,id147,1.41
id172,id31,2.0
id172,id75,2.24
id172,id163,2.0
id172,id161,1.73
id172,id98,4.12
id172,id167,1.41
id172,id166,3.16
id172,id157,6.63
id172,id153,6.63
id172,id103,3.0
id172,id32,2.45
id172,id40,2.65
id172,id51,1.41
id172,id33,1.41
id172,id88,2.45
id172,id52,1.41
id172,id164,1.41
id172,id28,2.0
id172,id168,3.16
id172,id162,1.0
id172,id97,1.73
id172,id138,1.0
id172,id96,1.41
id172,id87,1.0
id172,id20,1.41
id172,id90,1.41
id172,id27,1.73
id172,id155,1.41
id172,id42,1.0
id172,id36,1.0
id172,id127,2.0
id172,id197,1.41
id172,id151,1.0
id172,id64,1.0
id172,id49,1.0
id172,id174,1.41
id172,id3,1.73
id172,id21,1.0
id172,id68,1.0
id134,id68,1.73
id134,id56,3.0
id134,id4,3.32
id134,id173,1.41
id134,id38,1.73
id134,id53,1.73
id134,id23,1.0
id134,id12,1.0
id134,id161,2.24
id134,id103,4.12
id134,id7,1.41
id134,id72,1.0
id134,id86,2.65
id134,id57,1.0
id134,id163,1.0
id134,id149,1.41
id134,id31,1.0
id134,id125,1.41
id134,id32,1.0
id134,id178,1.0
id108,id114,2.45
id108,id75,1.73
id108,id173,1.73
id108,id79,3.74
id108,id178,2.0
id108,id112,4.24
id108,id168,1.41
id108,id90,1.41
id108,id64,1.0
id108,id21,1.0
id108,id166,1.41
id108,id28,1.0
id108,id58,1.0
id108,id136,1.0
id108,id116,1.0
id108,id91,1.0
id17,id136,1.0
id17,id23,1.41
id160,id26,3.74
id160,id119,3.74
id160,id90,1.0
id160,id92,1.0
id160,id173,1.0
id160,id28,1.0
id160,id165,1.0
id160,id180,1.41
id191,id95,1.41
id191,id203,1.0
id191,id13,1.0
id191,id98,1.0
id99,id91,2.24
id99,id20,1.0
id99,id29,1.0
id99,id21,1.0
id99,id56,1.0
id99,id13,1.73
id99,id161,1.0
id99,id65,1.0
id99,id31,1.0
id99,id203,1.41
id99,id53,1.0
id100,id23,7.62
id100,id203,1.41
id100,id145,3.32
id100,id135,1.41
id100,id24,2.24
id100,id71,2.45
id100,id114,1.0
