id1,id2,weight
id40,id31,449
id40,id27,138
id40,id39,289
id40,id30,541
id40,id97,465
id40,id51,264
id40,id46,3
id40,id111,166
id40,id178,831
id40,id53,888
id40,id52,264
id40,id14,606
id40,id161,76
id40,id166,187
id40,id28,1211
id40,id23,224
id40,id203,6841
id40,id20,821
id40,id65,21
id40,id44,43
id40,id155,255
id40,id165,1358
id40,id38,491
id40,id136,1122
id40,id21,40
id40,id98,261
id40,id72,77
id40,id170,373
id40,id91,1337
id40,id54,3
id40,id103,617
id40,id56,1062
id40,id149,67
id40,id151,1017
id40,id125,467
id40,id88,1302
id40,id152,21
id40,id123,18
id40,id7,1160
id40,id8,13
id40,id74,77
id40,id3,13
id40,id195,152
id40,id5,3
id40,id32,559
id40,id33,1041
id40,id140,89
id40,id145,1477
id40,id173,697
id40,id141,24
id40,id163,22
id40,id29,203
id40,id110,15
id40,id4,11092
id40,id134,33
id40,id193,7
id40,id172,973
id40,id71,506
id40,id58,2
id40,id17,2
id40,id96,13
id40,id138,1059
id40,id48,1132
id40,id119,627
id40,id121,644
id40,id168,452
id40,id68,126
id40,id113,248
id40,id26,387
id40,id187,9
id40,id182,15
id40,id114,65
id40,id202,72
id40,id127,45
id40,id84,3
id40,id205,156
id40,id45,34
id40,id105,65
id40,id190,45
id40,id95,339
id40,id147,355
id40,id183,155
id40,id36,451
id40,id86,239
id40,id102,14
id40,id87,254
id40,id104,82
id40,id174,3
id40,id75,122
id40,id107,13
id40,id148,121
id40,id83,7
id40,id76,15
id40,id18,355
id40,id171,1
id40,id150,51
id40,id185,98
id40,id49,84
id40,id157,623
id40,id153,1008
id40,id35,1070
id40,id85,126
id40,id64,226
id40,id133,22
id40,id167,25
id40,id180,150
id40,id118,26
id40,id34,35
id40,id66,32
id40,id55,106
id40,id67,51
id40,id90,44
id40,id132,46
id40,id207,16
id40,id99,35
id40,id10,65
id40,id135,60
id40,id181,16
id40,id199,9
id40,id93,8
id40,id126,16
id40,id144,62
id40,id69,31
id40,id146,19
id40,id60,36
id40,id100,17
id40,id137,11
id40,id82,9
id40,id73,3
id40,id50,3
id40,id57,12
id40,id116,167
id40,id162,48
id40,id208,18
id40,id194,12
id40,id81,35
id40,id42,4
id40,id109,5
id40,id198,30
id40,id15,36
id40,id159,3
id40,id160,12
id40,id115,26
id40,id209,9
id40,id2,15
id40,id37,9
id40,id13,3
id40,id189,6
id40,id94,3
id40,id108,3
id40,id24,2
id40,id197,1
id40,id63,1
id40,id62,1
id40,id200,3
id40,id25,22
id40,id12,13
id40,id41,2
id157,id23,561
id157,id31,1468
id157,id161,275
id157,id162,21
id157,id90,185
id157,id91,1972
id157,id118,95
id157,id85,723
id157,id154,3
id157,id99,202
id157,id136,3302
id157,id138,5587
id157,id131,6
id157,id151,96
id157,id18,1730
id157,id86,545
id157,id174,16
id157,id111,178
id157,id121,2674
id157,id172,4753
id157,id30,1323
id157,id29,759
id157,id4,274
id157,id56,1295
id157,id203,30120
id157,id104,335
id157,id13,23
id157,id53,4403
id157,id33,3003
id157,id150,106
id157,id168,2005
id157,id165,5680
id157,id163,15
id157,id48,5333
id157,id39,888
id157,id93,88
id157,id95,194
id157,id2,34
id157,id52,397
id157,id47,2
id157,id145,2544
id157,id66,56
id157,id64,1448
id157,id69,155
id157,id15,93
id157,id96,113
id157,id75,229
id157,id28,5535
id157,id74,94
id157,id44,52
id157,id97,1505
id157,id202,441
id157,id113,1605
id157,id127,86
id157,id178,3491
id157,id155,751
id157,id116,150
id157,id115,114
id157,id177,14
id157,id205,369
id157,id88,1339
id157,id173,1551
id157,id119,1637
id157,id3,2
id157,id72,9
id157,id105,298
id157,id114,82
id157,id135,154
id157,id94,11
id157,id103,2361
id157,id81,55
id157,id166,203
id157,id76,62
id157,id207,116
id157,id110,7
id157,id124,1
id157,id106,1
id157,id35,2841
id157,id146,109
id157,id152,37
id157,id38,1831
id157,id32,2426
id157,id122,1
id157,id55,520
id157,id58,5
id157,id153,5902
id157,id209,19
id157,id123,54
id157,id148,164
id157,id144,343
id157,id141,110
id157,id102,1
id157,id139,25
id157,id198,128
id157,id51,1259
id157,id45,101
id157,id158,1
id157,id54,30
id157,id57,37
id157,id109,8
id157,id183,133
id157,id79,13
id157,id92,2
id157,id84,2
id157,id147,1827
id157,id70,7
id157,id27,186
id157,id42,4
id157,id68,37
id157,id7,250
id157,id60,104
id157,id34,189
id157,id8,177
id157,id14,2508
id157,id170,82
id157,id87,1335
id157,id36,2245
id157,id71,2926
id157,id140,384
id157,id133,135
id157,id40,623
id157,id167,141
id157,id180,330
id157,id125,961
id157,id26,626
id157,id49,82
id157,id149,47
id157,id67,141
id157,id132,140
id157,id10,330
id157,id181,47
id157,id199,47
id157,id98,57
id157,id195,235
id157,id126,94
id157,id100,65
