id1,id2,weight
id40,id31,21.19
id40,id27,11.75
id40,id39,17.0
id40,id30,23.26
id40,id97,21.56
id40,id51,16.25
id40,id46,1.73
id40,id111,12.88
id40,id178,28.83
id40,id53,29.8
id40,id52,16.25
id40,id14,24.62
id40,id161,8.72
id40,id166,13.67
id40,id28,34.8
id40,id23,14.97
id40,id203,82.71
id40,id20,28.65
id40,id65,4.58
id40,id44,6.56
id40,id155,15.97
id40,id165,36.85
id40,id38,22.16
id40,id136,33.5
id40,id21,6.32
id40,id98,16.16
id40,id72,8.77
id40,id170,19.31
id40,id91,36.57
id40,id54,1.73
id40,id103,24.84
id40,id56,32.59
id40,id149,8.19
id40,id151,31.89
id40,id125,21.61
id40,id88,36.08
id40,id152,4.58
id40,id123,4.24
id40,id7,34.06
id40,id8,3.61
id40,id74,8.77
id40,id3,3.61
id40,id195,12.33
id40,id5,1.73
id40,id32,23.64
id40,id33,32.26
id40,id140,9.43
id40,id145,38.43
id40,id173,26.4
id40,id141,4.9
id40,id163,4.69
id40,id29,14.25
id40,id110,3.87
id40,id4,105.32
id40,id134,5.74
id40,id193,2.65
id40,id172,31.19
id40,id71,22.49
id40,id58,1.41
id40,id17,1.41
id40,id96,3.61
id40,id138,32.54
id40,id48,33.65
id40,id119,25.04
id40,id121,25.38
id40,id168,21.26
id40,id68,11.22
id40,id113,15.75
id40,id26,19.67
id40,id187,3.0
id40,id182,3.87
id40,id114,8.06
id40,id202,8.49
id40,id127,6.71
id40,id84,1.73
id40,id205,12.49
id40,id45,5.83
id40,id105,8.06
id40,id190,6.71
id40,id95,18.41
id40,id147,18.84
id40,id183,12.45
id40,id36,21.24
id40,id86,15.46
id40,id102,3.74
id40,id87,15.94
id40,id104,9.06
id40,id174,1.73
id40,id75,11.05
id40,id107,3.61
id40,id148,11.0
id40,id83,2.65
id40,id76,3.87
id40,id18,18.84
id40,id171,1.0
id40,id150,7.14
id40,id185,9.9
id40,id49,9.17
id40,id157,24.96
id40,id153,31.75
id40,id35,32.71
id40,id85,11.22
id40,id64,15.03
id40,id133,4.69
id40,id167,5.0
id40,id180,12.25
id40,id118,5.1
id40,id34,5.92
id40,id66,5.66
id40,id55,10.3
id40,id67,7.14
id40,id90,6.63
id40,id132,6.78
id40,id207,4.0
id40,id99,5.92
id40,id10,8.06
id40,id135,7.75
id40,id181,4.0
id40,id199,3.0
id40,id93,2.83
id40,id126,4.0
id40,id144,7.87
id40,id69,5.57
id40,id146,4.36
id40,id60,6.0
id40,id100,4.12
id40,id137,3.32
id40,id82,3.0
id40,id73,1.73
id40,id50,1.73
id40,id57,3.46
id40,id116,12.92
id40,id162,6.93
id40,id208,4.24
id40,id194,3.46
id40,id81,5.92
id40,id42,2.0
id40,id109,2.24
id40,id198,5.48
id40,id15,6.0
id40,id159,1.73
id40,id160,3.46
id40,id115,5.1
id40,id209,3.0
id40,id2,3.87
id40,id37,3.0
id40,id13,1.73
id40,id189,2.45
id40,id94,1.73
id40,id108,1.73
id40,id24,1.41
id40,id197,1.0
id40,id63,1.0
id40,id62,1.0
id40,id200,1.73
id40,id25,4.69
id40,id12,3.61
id40,id41,1.41
id157,id23,23.69
id157,id31,38.31
id157,id161,16.58
id157,id162,4.58
id157,id90,13.6
id157,id91,44.41
id157,id118,9.75
id157,id85,26.89
id157,id154,1.73
id157,id99,14.21
id157,id136,57.46
id157,id138,74.75
id157,id131,2.45
id157,id151,9.8
id157,id18,41.59
id157,id86,23.35
id157,id174,4.0
id157,id111,13.34
id157,id121,51.71
id157,id172,68.94
id157,id30,36.37
id157,id29,27.55
id157,id4,16.55
id157,id56,35.99
id157,id203,173.55
id157,id104,18.3
id157,id13,4.8
id157,id53,66.36
id157,id33,54.8
id157,id150,10.3
id157,id168,44.78
id157,id165,75.37
id157,id163,3.87
id157,id48,73.03
id157,id39,29.8
id157,id93,9.38
id157,id95,13.93
id157,id2,5.83
id157,id52,19.92
id157,id47,1.41
id157,id145,50.44
id157,id66,7.48
id157,id64,38.05
id157,id69,12.45
id157,id15,9.64
id157,id96,10.63
id157,id75,15.13
id157,id28,74.4
id157,id74,9.7
id157,id44,7.21
id157,id97,38.79
id157,id202,21.0
id157,id113,40.06
id157,id127,9.27
id157,id178,59.08
id157,id155,27.4
id157,id116,12.25
id157,id115,10.68
id157,id177,3.74
id157,id205,19.21
id157,id88,36.59
id157,id173,39.38
id157,id119,40.46
id157,id3,1.41
id157,id72,3.0
id157,id105,17.26
id157,id114,9.06
id157,id135,12.41
id157,id94,3.32
id157,id103,48.59
id157,id81,7.42
id157,id166,14.25
id157,id76,7.87
id157,id207,10.77
id157,id110,2.65
id157,id124,1.0
id157,id106,1.0
id157,id35,53.3
id157,id146,10.44
id157,id152,6.08
id157,id38,42.79
id157,id32,49.25
id157,id122,1.0
id157,id55,22.8
id157,id58,2.24
id157,id153,76.82
id157,id209,4.36
id157,id123,7.35
id157,id148,12.81
id157,id144,18.52
id157,id141,10.49
id157,id102,1.0
id157,id139,5.0
id157,id198,11.31
id157,id51,35.48
id157,id45,10.05
id157,id158,1.0
id157,id54,5.48
id157,id57,6.08
id157,id109,2.83
id157,id183,11.53
id157,id79,3.61
id157,id92,1.41
id157,id84,1.41
id157,id147,42.74
id157,id70,2.65
id157,id27,13.64
id157,id42,2.0
id157,id68,6.08
id157,id7,15.81
id157,id60,10.2
id157,id34,13.75
id157,id8,13.3
id157,id14,50.08
id157,id170,9.06
id157,id87,36.54
id157,id36,47.38
id157,id71,54.09
id157,id140,19.6
id157,id133,11.62
id157,id40,24.96
id157,id167,11.87
id157,id180,18.17
id157,id125,31.0
id157,id26,25.02
id157,id49,9.06
id157,id149,6.86
id157,id67,11.87
id157,id132,11.83
id157,id10,18.17
id157,id181,6.86
id157,id199,6.86
id157,id98,7.55
id157,id195,15.33
id157,id126,9.7
id157,id100,8.06
id157,id65,5.1
id157,id20,12.45
id157,id193,1.0
id157,id159,3.0
id157,id160,4.9
id157,id83,3.46
id157,id21,4.0
id157,id37,4.24
id157,id182,2.45
id157,id187,5.2
id157,id189,2.45
id157,id134,2.45
id157,id108,2.45
id157,id101,4.47
id157,id112,1.0
id157,id208,2.24
id157,id128,1.0
id90,id91,139.75
id90,id174,8.94
id90,id84,50.97
id90,id119,82.19
id90,id75,84.72
id90,id172,58.82
id90,id28,82.2
id90,id202,31.34
id90,id127,18.52
id90,id203,197.04
id90,id180,22.83
id90,id26,43.97
id90,id56,17.55
id90,id173,102.43
id90,id98,13.45
id90,id116,104.77
id90,id23,72.26
id90,id161,28.83
id90,id162,6.0
id90,id157,13.6
id90,id100,16.16
id90,id145,33.33
id90,id24,32.57
id90,id64,30.58
id90,id169,21.07
