id,label
id2,Anaphora Resolution
id3,Generative Adversarial Networks
id4,Neural Machine Translation
id5,Variational Autoencoders
id6,IBM Translation Models
id7,BLEU
id8,ROUGE
id9,Scientific article summarization
id10,Open information extraction
id11,Sentence simplification
id12,Attention Models
id13,Knowledge graph
id14,Semantic Role Labeling
id15,Abstract Meaning Representation
id16,Coreference and Coreference Resolution
id17,Machine Reading Comprehension
id18,Context Free Grammar
id19,Context sensitive grammar
id20,Domain Adaptation
id21,Transfer Learning
id22,Capsule Networks
id23,Reinforcement Learning
id24,Q Learning
id25,DQN
id26,Backpropagation
id27,Word Embedding
id28,Logistic Regression
id29,Semantic Parsing
id30,Stemming
id31,Sentiment Analysis
id32,Penn Treebank
id33,Dependency Parsing
id34,Tree Adjoining Grammar
id35,Combinatory Categorial Grammar
id36,Relation Extraction
id37,Event Detection
id38,Language Modeling
id39,Named Entity Recognition
id40,Word Segmentation
id41,Sentence Boundary Recognition
id42,Optical Character Recognition
id43,Automated essay scoring
id44,Latent Dirichlet allocation
id45,Latent semantic indexing
id46,Language Identification
id47,Bayes theorem
id48,Hidden Markov Models
id49,Conditional Random Fields
id50,deep belief networks
id51,Word sense disambiguation
id52,Part of Speech tagging
id53,Question answering
id54,Automatic summarization
id55,Supertagging
id56,Recursive Neural Network
id57,multi-Document Summarization
id58,Variational Bayes
id59,Discourse Model
id60,Morphological Disambiguation
id61,Weakly-supervised learning
id62,One-shot learning
id63,Neural turing machine
id64,Bootstrapping
id65,Distributional semantics
id66,Shallow parsing
id67,A* search
id68,Transliteration
id69,Lexicography
id70,Chat bots
id71,Dialog Systems
id72,Multi-task Learning
id73,Multilingual Word
id74,Evaluation Metrics
id75,Linear Regression
id76,Convex Optimization
id77,Newton Method
id78,Dual Problems
id79,Random Forest
id80,Radial Basis Function Network
id81,Kernel Function
id82,Boltzmann Machine
id83,Expectation-Maximization (EM) Algorithm
id84,dimensionality reduction
id85,First-order logic
id86,Natural language generation
id87,Noisy channel model
id88,Perceptrons algorithm
id89,SVM
id90,Decision Trees
id91,Clustering
id92,K-nn
id93,Random walks
id94,Harmonic functions
id95,PageRank
id96,Topic modeling
id97,Word2Vec
id98,CNN's
id99,Knowledge representation
id100,Markov decision processes
id101,Autonomous cars
id102,Phonetics
id103,Speech recognition
id104,Crowdsourcing
id105,Matrix factorization
id106,Spectral methods
id107,Genetic algorithms
id108,Ensemble learning
id109,Expert systems
id110,Bayesian network
id111,Text mining
id112,Bagging
id113,Maximum likelihood estimation
id114,Graphical models
id115,Markov Chain Monte Carlo
id116,K means
id117,Earley parsing
id118,Propositional Logic
id119,Gradient descent
id120,Search Engine indexing
id121,Tokenization
id122,Finite-state machines
id123,Textual entailment
id124,Constraint satisfaction
id125,Beam search
id126,Recommendation System
id127,Matrix multiplication
id128,Differential calculus
id129,Facial Recognition Systems
id130,Backpropagation through time
id131,Grammar checker
id132,Shift-Reduce Parsing
id133,Speech Synthesis
id134,Caption generation
id135,Linear Programming
id136,Inference
id137,Long Short-term memory networks
id138,Wordnet
id139,Natural Language Interfaces
id140,Probabilistic context-free grammars
id141,Paraphrasing
id142,Spectral clustering
id143,Particle filter
id144,Prosody
id145,Dynamic Programming
id146,Language acquisition
id147,Spelling correction
id148,Log-linear models
id149,Gated recurrent units
id150,Gibbs sampling
id151,Statistical machine translation
id152,Compositional semantics
id153,Edit distance
id154,Chomsky hierarchy
id155,Conditional probability
id156,Linear discriminant analysis
id157,Regular expressions
id158,Artificial neural network
id159,Bag of words model
id160,Bias-variance tradeoff
id161,Computer Vision
id162,Image Retrieval
id163,ImageNet
id164,Object Detection
id165,N-gram
id166,Singular-value decomposition
id167,T-SNE
id168,Loss Function
id169,Monte Carlo Tree Search
id170,Structured Prediction
id171,Feature Learning
id172,Normalization
id173,Regularization
id174,Data preprocessing
id175,Robotic locomotion
id176,Human-robot interaction
id177,Network theory
id178,Entropy
id179,Cross entropy
id180,Activation functions
id181,Kullback-Leibler divergence
id182,Bidirectional recurrent neural networks
id183,Query Expansion
id184,Bio Text Mining
id185,Collaborative filtering
id186,character level language models
id187,Hierarchical models
id188,smoothing and backoff
id189,Policy gradient methods
id190,Crawling the Web
id191,citation networks
id192,Greedy algorithms
id193,pointer networks
id194,document representation
id195,Seq2seq
id196,Game playing in AI
id197,graph convolutional networks
id198,Lambda calculus
id199,Highway networks
id200,Stack lstm
id201,multi-modal learning
id202,linear algebra
id203,Probability
id204,descriptive statistics and hypothesis testing
id205,Information Theory
id206,data structures and algorithms
id207,graph theory
id208,relational databases
id209,dual decomposition
