_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,ask_question_here,ask_question_here:confidence,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment:confidence,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment:confidence,_created_at,orig__golden,orig__unit_id,_updated_at,orig_q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment_gold,q1_identify_the_term_that_is_associated_with_the_most_amount_of_positive_sentiment_or_least_amount_of_negative_sentiment_gold_reason,orig_q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment_gold,q2_identify_the_term_that_is_associated_with_the_most_amount_of_negative_sentiment_or_least_amount_of_positive_sentiment_gold_reason,w1,w2,w3,w4
802926368,true,golden,16,,,,honored,1,#failure,0.7601,,true,,,,honored,,,,,nasty,#failure,honored,females
802926369,true,golden,15,,,,smiles,1,scary,0.8113,,true,,,,smiles,,,scary,,not attractive,smiles,scary,team
802926370,true,golden,14,,,,sort,0.5155,rude,0.9258,,true,,,,,,,rude,,sort,cause,:|,rude
802926371,true,golden,12,,,,easy,1,#lazy,0.9143,,true,,,,easy,,,,,nonrandom,easy,don't freak,#lazy
802926372,true,golden,13,,,,amazing,1,#myweakness,1,,true,,,,amazing,,,#myweakness,,timestamp,quote,#myweakness,amazing
802926373,true,golden,16,,,,apprecaite,0.9331,not able,0.8292,,true,,,,apprecaite,,,not able,,no longer,not able,apprecaite,fly
802926374,true,golden,14,,,,funny,0.7058,don't drink,0.9295,,true,,,,,,,don't drink,,d:,don't drink,sure,funny
802926375,true,golden,14,,,,hilarious,1,rotten,1,,true,,,,hilarious,,,rotten,,not bad,hilarious,#sortitout,rotten
802926376,true,golden,12,,,,#relaxing,0.8368,#needmoney,1,,true,,,,,,,#needmoney,,#relaxing,#based,truth,#needmoney
802926378,true,golden,15,,,,phenomenal,0.6767,story,0.9414,,true,,,,,,,story,,phenomenal,dazzling,story,congratulations
802926380,true,golden,13,,,,yummm,1,#feelshit,0.6097,,true,,,,yummm,,,,,yummm,#disgrace,#feelshit,making
802926381,true,golden,15,,,,;),0.4673,#disappointment,1,,true,,,,,,,#disappointment,,pleasantly,smexy,;),#disappointment
802926382,true,golden,15,,,,home-cooked,0.9316,not cute,0.7292,,true,,,,home-cooked,,,,,can't go,not cute,home-cooked,everytime
802926383,true,golden,22,,,,said,0.4128,dick,0.9149,,true,,,,,,,dick,,dick,no wonder,no rain,said
802926384,true,golden,18,,,,peace,0.9458,#poorly,0.7872,,true,,,,,,,#poorly,,not recommend,#poorly,poem,peace
802926385,true,golden,20,,,,wow,0.7663,#fierce,0.5569,,true,,,,wow,,,,,rhymed,song,wow,#fierce
802926386,true,golden,16,,,,nicely,0.8181,#confused,1,,true,,,,nicely,,,#confused,,post,flirt,#confused,nicely
802926387,true,golden,20,,,,amazzing,0.9528,#feelingsorryformyself,1,,true,,,,amazzing,,,#feelingsorryformyself,,don't tell,#feelingsorryformyself,don't forget,amazzing
802926388,true,golden,27,,,,possibly,1,#nogood,0.4426,,true,,,,possibly,,,,,#nogood,gutted,possibly,not nice
802926389,true,golden,12,,,,marvelous,0.5056,#cough,1,,true,,,,,,,#cough,,#handsome,marvelous,yessss,#cough
802926390,true,golden,14,,,,eating,0.6449,#pig,0.5826,,true,,,,,,,#pig,,eating,#pig,no hangover,excuse
802926391,true,golden,16,,,,way,0.6398,ugh,0.9383,,true,,,,,,,ugh,,way,never hit,ugh,budget
802926392,true,golden,25,,,,govt,0.7671,hates,0.7136,,true,,,,"#notfunny
govt",,,,,#notfunny,govt,hates,worst
802926393,true,golden,15,,,,fam,0.8687,scare,1,,true,,,,,,,scare,,fam,tweets,no lie,scare
802926394,true,golden,17,,,,#angel,1,#sickening,0.9436,,true,,,,#angel,,,#sickening,,#sickening,site,#angel,#fake
802926395,true,golden,18,,,,cant w8,0.7241,acting,0.5528,,true,,,,cant w8,,,,,acting,cant w8,no drama,wash
802926396,true,golden,14,,,,money,0.857,headache,1,,true,,,,,,,headache,,guy,money,customer,headache
802926397,true,golden,20,,,,#fab,0.7216,unattractive,1,,true,,,,,,,unattractive,,faves,text,unattractive,#fab
802926398,true,golden,16,,,,sleep,1,hatred,0.571,,true,,,,sleep,,,,,hatred,#scary,sleep,#horrible
802926399,true,golden,14,,,,yaay,0.9298,unmade,1,,true,,,,yaay,,,,,yaay,unmade,tonight,lunch
802926401,true,golden,18,,,,congratulation,1,ewwww,0.7295,,true,,,,congratulation,,,ewwww,,ewwww,no money,congratulation,don't accept
802926402,true,golden,20,,,,weee,0.6135,#fedup,0.9545,,true,,,,weee,,,#fedup,,play,weee,#fedup,#studentproblems
802926403,true,golden,18,,,,lovely,1,#hate,0.9447,,true,,,,lovely,,,#hate,,lovely,#stupid,#hate,support
802926404,true,golden,15,,,,#innovation,0.9348,scum,0.94,,true,,,,#innovation,,,scum,,join,#innovation,hang,scum
802926406,true,golden,15,,,,gracias,0.9468,#liars,1,,true,,,,gracias,,,#liars,,#liars,no boundaries,can't find,gracias
802926407,true,golden,15,,,,nice,0.8065,#cringe,1,,true,,,,nice,,,#cringe,,#cringe,watch,nice,no worrys
802926408,true,golden,21,,,,#goodsex,0.5232,disrespectful,0.9522,,true,,,,,,,disrespectful,,disrespectful,#goodsex,#fabulous'nis,work
802926409,true,golden,14,,,,playing,0.5753,no prob,0.4369,,true,,,,wit,,,,,wit,never hurts,no prob,playing
802926410,true,golden,21,,,,excellence,0.9523,#spoiled,0.9613,,true,,,,,,,#spoiled,,excellence,#spoiled,cant wiat,coming
802926411,true,golden,19,,,,:-d,0.3803,#disappointed,0.9466,,true,,,,,,,#disappointed,,#disappointed,:-d,not confusing,find
802926412,true,golden,13,,,,#sweetheart,1,#ripoff,1,,true,,,,#sweetheart,,,#ripoff,,eh,pregnant,#sweetheart,#ripoff
802926413,true,golden,15,,,,love,0.9421,tacky,0.6724,,true,,,,love,,,,,tacky,no excuse,mother's,love
802926414,true,golden,16,,,,lmao,0.5586,#die,0.9355,,true,,,,lmao,,,#die,,lmao,hahaha,doesn't work,#die
802926415,true,golden,17,,,,woohoo,0.8915,#ignorant,0.9434,,true,,,,woohoo,,,#ignorant,,#ignorant,accept,woohoo,delay
802926416,true,golden,16,,,,inspiring,1,not working,0.6322,,true,,,,inspiring,,,,,inspiring,offense,can't seem,not working
802926417,true,golden,12,,,,hehehe,1,#coward,1,,true,,,,,,,#coward,,np,#coward,hehehe,park
802926418,true,golden,15,,,,want,0.9265,awful,0.9354,,true,,,,,,,awful,,disbelieve,unsurprising,want,awful
802926419,true,golden,17,,,,#awesome,1,#yuk,0.7664,,true,,,,#awesome,,,,,#yuk,shocking,#awesome,act
802926420,true,golden,15,,,,finally,0.5294,#wasteofspace,1,,true,,,,,,,#wasteofspace,,person,#wasteofspace,not setting,finally
802926421,true,golden,19,,,,morning,1,#twofaced,0.8361,,true,,,,morning,,,#twofaced,,broke,#twofaced,no mention,morning
802926422,true,golden,15,,,,luv,1,#pissedoff,0.9403,,true,,,,luv,,,,,#eww,#pleasestop,#pissedoff,luv
802926423,true,golden,14,,,,#sohappy,1,never tried,1,,true,,,,#sohappy,,,,,#sohappy,never tried,photos,teams
802926424,true,golden,14,,,,#celebrity,0.7803,#stressed,0.9367,,true,,,,,,,#stressed,,bacon,unnecessarily,#celebrity,#stressed
802926425,true,golden,19,,,,coolest,0.9506,#disappointing,1,,true,,,,coolest,,,#disappointing,,social,#disappointing,don't put,coolest
802926426,true,golden,10,,,,muahahah,1,#depressing,0.692,,true,,,,muahahah,,,,,#mess,#depressing,muahahah,ill
802926428,true,golden,15,,,,#thebest,1,try,0.9358,,true,,,,#thebest,,,try,,hola,no problem,#thebest,try
802926430,true,golden,13,,,,uncomplaining,0.9247,#insidious,0.709,,true,,,,,,,#insidious,,can't pass,smartass,#insidious,uncomplaining
802926431,true,golden,17,,,,:p,0.6571,#itsnotokayto,1,,true,,,,:p,,,#itsnotokayto,,bought,#itsnotokayto,:p,grown
802926432,true,golden,24,,,,best,0.7489,disgrace,0.8781,,true,,,,,,,disgrace,,disgrace,yey,best,don't care
802926433,true,golden,18,,,,thrilled,0.9438,makes,0.7181,,true,,,,thrilled,,,,,makes,thrilled,villa,songs
802926434,true,golden,21,,,,birthday,1,not true,1,,true,,,,birthday,,,not true,,mouths,know,not true,birthday
802926435,true,golden,16,,,,proper,1,horrible,1,,true,,,,proper,,,horrible,,late,horrible,unfamiliar,proper
802926436,true,golden,15,,,,ha,0.8794,stinks,0.9343,,true,,,,ha,,,stinks,,ha,stinks,come,times
802926437,true,golden,15,,,,goooood,1,nobody,0.9306,,true,,,,goooood,,,,,joke,nobody,goooood,no lag
802926438,true,golden,14,,,,#phenomenal,0.9275,not good,0.9264,,true,,,,#phenomenal,,,not good,,#phenomenal,girl,misses,not good
802926439,true,golden,17,,,,twitterverse,0.5206,malfunction,0.9421,,true,,,,,,,malfunction,,malfunction,no agenda,don't feel,twitterverse
802926440,true,golden,20,,,,yahooo,1,#pain,0.6053,,true,,,,yahooo,,,,,#pain,#trash,yahooo,#dissapointed
802926441,true,golden,18,,,,#goodvibes,1,jumpy,0.8837,,true,,,,#goodvibes,,,,,start,jumpy,ok,#goodvibes
802926442,true,golden,15,,,,fabulous,1,disgraceful,0.9317,,true,,,,fabulous,,,disgraceful,,feel,prohibit,disgraceful,fabulous
802926443,true,golden,13,,,,#focused,0.9305,murdered,0.9213,,true,,,,#focused,,,murdered,,#focused,#ungrateful,murdered,guess
802926444,true,golden,15,,,,#inspiring,1,half,0.7333,,true,,,,#inspiring,,,,,feedback,half,#inspiring,okay
802926445,true,golden,14,,,,impressed,0.7381,#mybad,0.9327,,true,,,,,,,#mybad,,give,impressed,heheh,#mybad
802926446,true,golden,16,,,,#peaceful,1,#loser,0.8792,,true,,,,#peaceful,,,#loser,,no avail,unready,#loser,#peaceful
802926447,true,golden,19,,,,wedding,1,haven't decided,0.9474,,true,,,,wedding,,,haven't decided,,things,haven't decided,wedding,looking
802926448,true,golden,19,,,,happy,1,sadly,0.8478,,true,,,,happy,,,sadly,,don't want,happy,silence,sadly
802926449,true,golden,13,,,,yaaay,1,aint loyal,0.9247,,true,,,,yaaay,,,aint loyal,,yaaay,aint loyal,not long,haven't tweeted
802926450,true,golden,13,,,,positive,1,bastard,0.9262,,true,,,,positive,,,bastard,,haven't seen,hurt,bastard,positive
802926451,true,golden,20,,,,pleased,0.8632,failed,0.9596,,true,,,,,,,failed,,#style,failed,hanging,pleased
802926454,true,golden,12,,,,acoustic,0.8249,disgust,0.8323,,true,,,,,,,disgust,,never smelt,#nopoint,acoustic,disgust
802926455,true,golden,23,,,,excitedddd,0.9596,#ugly,1,,true,,,,excitedddd,,,#ugly,,#middleclass,excitedddd,#ugly,sometimes
802926456,true,golden,22,,,,yep,0.6118,#killyourself,1,,true,,,,yep,,,#killyourself,,wearing,defending,#killyourself,yep
802926457,true,golden,20,,,,appriciate,0.9509,#oops,0.6049,,true,,,,appriciate,,,#oops,,#oops,appriciate,don't need,boy
802926458,true,golden,23,,,,yayy,0.7953,ignore,1,,true,,,,yayy,,,ignore,,ignore,#jan1st,yayy,thanx
802926459,true,golden,16,,,,awesomeness,0.9481,hell,1,,true,,,,awesomeness,,,hell,,taxes,awesomeness,hee,hell
802926460,true,golden,18,,,,#happy,1,can't buy,0.8382,,true,,,,#happy,,,,,can't buy,can't fall,#happy,tummy
802926461,true,golden,16,,,,no rush,0.5519,#cruel,1,,true,,,,,,,#cruel,,no rush,following,unfair,#cruel
802926462,true,golden,15,,,,garden,1,#broken,1,,true,,,,garden,,,#broken,,can't watch,not ready,#broken,garden
802926463,true,golden,15,,,,#motivated,1,#disgraceful,1,,true,,,,#motivated,,,#disgraceful,,saying,#disgraceful,#motivated,ya
802926464,true,golden,14,,,,human,0.8485,disgusts,0.8618,,true,,,,,,,disgusts,,human,name,ignorant,disgusts
802926465,true,golden,13,,,,satisfied,1,#no,1,,true,,,,satisfied,,,#no,,satisfied,#no,days,continue
802926466,true,golden,14,,,,superb,1,#vomit,1,,true,,,,superb,,,#vomit,,superb,breakfast,#vomit,thinks
802926467,true,golden,11,,,,liked,1,useless,1,,true,,,,liked,,,useless,,don't listen,useless,liked,don't talk
802926468,true,golden,15,,,,;-),1,morons,1,,true,,,,;-),,,morons,,excerpt,hours,;-),morons
802926469,true,golden,13,,,,dad,0.9298,#dirty,0.38,,true,,,,dad,,,,,#dontyouhate,dad,embarrassed,#dirty
802926470,true,golden,16,,,,#magical,0.7489,#flu,1,,true,,,,"#magical
friends",,,#flu,,#magical,friends,#flu,not obsessed
802926471,true,golden,16,,,,#lovely,0.9443,#disturbing,1,,true,,,,,,,#disturbing,,friend,#lovely,#sassy,#disturbing
802926472,true,golden,20,,,,#happytweet,0.951,broken,1,,true,,,,#happytweet,,,broken,,#happytweet,using,broken,couldn't resist
802926473,true,golden,22,,,,brothers,1,horrendous,0.9119,,true,,,,brothers,,,horrendous,,old,brothers,horrendous,can't stand
802926474,true,golden,29,,,,moment,0.5463,no fun,0.9158,,true,,,,:d,,,no fun,,no fun,:d,moment,whoever
802926475,true,golden,18,,,,#education,0.8859,scarred,0.5349,,true,,,,#education,,,,,low,):,#education,scarred
802926476,true,golden,19,,,,#partytime,0.8473,#getalife,0.9018,,true,,,,#partytime,,,#getalife,,#partytime,#getalife,#good'night,link
802926477,true,golden,18,,,,#love,1,#whore,0.9397,,true,,,,#love,,,,,#whore,told,#love,#idiot
802926478,true,golden,14,,,,lot,1,kill,0.7928,,true,,,,lot,,,,,lot,stunk,#cheat,kill
802926479,true,golden,16,,,,yumm,1,not cool,1,,true,,,,yumm,,,not cool,,yumm,not cool,rock,piece
802926480,true,golden,22,,,,moon,0.5001,can't teach,1,,true,,,,,,,can't teach,,nighty,followers,can't teach,moon
802926481,true,golden,16,,,,can't complain,0.7558,shameful,0.6884,,true,,,,can't complain,,,shameful,,can't complain,ache,sounds,shameful
802926482,true,golden,16,,,,thanking,0.9373,#shocking,0.9407,,true,,,,,,,#shocking,,nothing beats,#shocking,thanking,email
802926483,true,golden,11,,,,#flawless,1,sad,1,,true,,,,#flawless,,,sad,,#flawless,nite,cd,sad
802926484,true,golden,22,,,,won,0.9598,#idiots,0.9158,,true,,,,won,,,,,chai,lonely,#idiots,won
802926485,true,golden,16,,,,woooohoooo,0.7571,no competition,0.817,,true,,,,woooohoooo,,,no competition,,hahahaha,woooohoooo,:'),no competition
802926488,true,golden,18,,,,got,0.839,badly,0.4481,,true,,,,got,,,,,smfh,got,#stop,badly
802926489,true,golden,19,,,,#littlethings,1,#feelsick,0.9057,,true,,,,#littlethings,,,,,ew,#feelsick,#littlethings,can't read
802926490,true,golden,18,,,,#happiness,1,can't bare,0.6258,,true,,,,#happiness,,,can't bare,,#happiness,#everyonelikesitbutme,never happen,can't bare
802926491,true,golden,16,,,,party,1,died,1,,true,,,,party,,,died,,day,ouch,party,died
802926492,true,golden,15,,,,fan,0.9399,#gross,1,,true,,,,fan,,,#gross,,not surprising,#gross,fan,needed
802926493,true,golden,14,,,,star,0.7169,can't help,0.9389,,true,,,,,,,can't help,,star,not picky,can't help,shopping
802926494,true,golden,17,,,,food,0.5242,#desperate,1,,true,,,,,,,#desperate,,#desperate,shout-out,food,imported
802926495,true,golden,16,,,,loving,1,#hideous,0.8806,,true,,,,loving,,,#hideous,,don't wear,cry,#hideous,loving
802926496,true,golden,14,,,,awards,0.5016,#filth,1,,true,,,,"gooooood
awards",,,#filth,,gooooood,#filth,awards,learn
802926498,true,golden,16,,,,laughable,0.6264,black,0.4359,,true,,,,no problemm,,,oh,,black,oh,laughable,no problemm
802926499,true,golden,17,,,,look,0.9416,disapprove,0.7606,,true,,,,look,,,,,disapprove,last,look,#bum
802926500,true,golden,18,,,,loved,0.9428,#selfmadesavagez,0.774,,true,,,,loved,,,,,loved,never hated,rise,#selfmadesavagez
802926501,true,golden,14,,,,enjoyed,0.8619,dude,0.7913,,true,,,,enjoyed,,,,,enjoyed,dude,care,hun
802926502,true,golden,17,,,,cant waitttt,0.6527,#sorrynotsorry,0.7151,,true,,,,"#gotit
cant waitttt",,,"#sorrynotsorry
defense",,#gotit,cant waitttt,#sorrynotsorry,defense
802926503,true,golden,13,,,,not dissapoint,0.5409,dirty,1,,true,,,,,,,dirty,,gotta,not dissapoint,dirty,unwrap
802926504,true,golden,19,,,,#spectacular,1,outta,0.5264,,true,,,,#spectacular,,,,,#spectacular,outta,girls,maybe
802926507,true,golden,15,,,,helpful,0.6054,spoiled,0.9338,,true,,,,,,,spoiled,,spoiled,#smashing,helpful,tea
802926508,true,golden,22,,,,#glamour,0.6305,tragedy,0.9548,,true,,,,"#glamour
baby",,,tragedy,,tragedy,#glamour,disloyal,baby
802926509,true,golden,14,,,,add,0.7892,disturbing,1,,true,,,,,,,disturbing,,list,disturbing,tired,add
802926510,true,golden,15,,,,never tasted,0.5599,#useless,0.589,,true,,,,never tasted,,,,,#eurgh,can't cope,#useless,never tasted
802926511,true,golden,18,,,,featured,0.3856,;d,0.5582,,true,,,,;d,,,,,whole,;d,adverts,featured
802926512,true,golden,25,,,,#bravo,0.9283,#selfish,0.9589,,true,,,,#bravo,,,#selfish,,no reason,bank,#bravo,#selfish
802926513,true,golden,18,,,,#talent,1,death,0.8346,,true,,,,#talent,,,,,#talent,death,dreadful,#creepy
802926514,true,golden,17,,,,giveaway,0.8114,despise,0.9015,,true,,,,,,,despise,,can't stop,despise,giveaway,asking
802926515,true,golden,18,,,,woke,0.8985,vile,0.8434,,true,,,,,,,vile,,vile,drama,can't sleep,woke
802926516,true,golden,19,,,,xoxo,0.9522,filthy,0.577,,true,,,,xoxo,,,,,hide,xoxo,filthy,#classless
802926517,true,golden,15,,,,teach,0.8848,#heartless,1,,true,,,,teach,,,#heartless,,need,#heartless,teach,won't let
802926518,true,golden,16,,,,awesome,0.9523,sinister,1,,true,,,,awesome,,,sinister,,awesome,haven't played,relationship,sinister
802926519,true,golden,16,,,,magnificent,0.691,err:511,0.6882,,true,,,,"pleasure
magnificent",,,,,pleasure,apology,err:511,magnificent
802926520,true,golden,17,,,,no probs,0.94,#embarrassing,0.774,,true,,,,no probs,,,,,swear,#embarrassing,no probs,boycott
802926521,true,golden,14,,,,lmfao,0.6622,answer,0.663,,true,,,,,,,answer,,lmfao,thankyou,answer,movie
802926522,true,golden,11,,,,not embarrassed,0.6272,horrific,1,,true,,,,,,,horrific,,horrific,not embarrassed,#needcuddles,can't connect
