_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,human_relation,human_relation:confidence,human_relation_type,human_relation_type:confidence,documentid,gold,human_relation_gold,human_relation_gold_reason,human_relation_type_gold,human_relation_type_gold_reason,text
711477194,true,golden,94,,personal experience,1,is prescibed for,0.8074,t1,true,1,author tells about his/her personal experience.,2,"person tells that he/she takes drug, but there is no explicit mention that the drug helps.","i am also taking cough medicine and some <font color=""blue"">acetaminophen</font> to deal with the <font color=""red"">fever</font> and headache i get."
711477195,true,golden,99,,impersonal experience,0.9609,caused side effect,1,t1,true,3,,1,acetaminophen can cause sweating,"medicines taken to lower fever, such as aspirin and <font color=""blue"">acetaminophen</font>, can sometimes lead to <font color=""red"">sweating</font>."
711477196,true,golden,92,,personal experience,1,is prescibed for,0.6926,t3,true,1,author tells about his/her personal experience.,2,"person tells that he/she takes drug, but there is no explicit mention that the drug helps.","<font color=""blue"">acetaminophen</font> has a suppository version, which i use when i have a <font color=""red"">fever</font>."
711477197,true,golden,90,,personal experience,1,was effective against,0.9651,t4,true,1,the author explicitly relates to an event s/he experienced personally.,3,the autor explicitly states the drug was effective.,"i went back to the <font color=""blue"">nexium</font> and stopped <font color=""red"">coughing</font>."
711477198,true,golden,89,,personal experience,1,is prescibed for,0.5001,t5,true,1,the author relates to an event s/he personally experienced.,2,"there is an overt statement of drug administration, but no overt statement of the drug being effective.","i used to get alot of <font color=""red"">headaches</font> and would take lots of <font color=""blue"">advil</font> daily (not overdosing) but regular dosing."
711477199,true,golden,87,,impersonal experience negated,0.9273,caused side effect,0.9267,t6,true,4,there is no explicit statement that the author experienced the event personally.,1,there is an explicit negation of side-effect being caused.,"for example, <font color=""blue"">yasmin</font> does not cause <font color=""red"">weight gain</font> in many people."
711477200,true,golden,88,,question,0.8023,caused side effect,1,t7,true,5,the author makes an inquiry.,1,the author asks whether the specified drug can cause the specified side-effect.,"someone mentioned that <font color=""blue"">accutane</font> causes <font color=""red"">hair loss</font>?"
711477201,true,golden,88,,personal experience negated,0.8056,caused side effect,0.8461,t8,true,2,the author explicitly relates to an event s/he experienced personally.,1,the author explicitly states not experiencing any side-effect.,"this is my second time on <font color=""blue"">accutane</font> and i have not experienced any <font color=""red"">hair loss</font>."
711477202,true,golden,95,,personal experience,0.9608,was effective against,0.9608,t9,true,1,the author explicitly relates to an event s/he personally experienced.,3,the author explicitly states the drug was  effective.,"the <font color=""red"">headache</font>'s have slowed down from the <font color=""blue"">amitriptyline</font>, 25mg."
711477203,true,golden,89,,personal experience negated,0.6388,caused side effect,0.6012,t10,true,1,following instructions if type of relation 'other' was chosen it's necessary to choose 'personal experience' as relation,0,none of the relations in the list applies.,"my <font color=""red"">hair loss</font> is unrelated to the <font color=""blue"">accutane</font> and started before i began my course."
711477204,true,golden,101,,personal experience,0.8473,caused side effect,1,t11,true,1,the author relates to an event s/he personally experienced.,1,the author explicitly states experiencing a side-effect.,"<font color=""blue"">lisinopril</font> also caused a horrible <font color=""red"">cough</font>."
711477205,true,golden,91,,impersonal experience,0.5371,caused side effect,0.9633,t12,true,3,there is no explicit statement that the event was personally experienced by the author.,1,the author expresses awareness of weight gain being a known side-effect of zoloft.,"my main concern is <font color=""red"">weight gain</font> with <font color=""blue"">zoloft</font>."
711477206,true,golden,97,,personal experience,1,was effective against,0.9576,t13,true,1,the author explicitly relates to an event s/he experienced personally.,3,the author explicitly states that the drug was effective.,"i only purchased the <font color=""blue"">advair</font> and it did help with the <font color=""red"">cough</font>."
711477207,true,golden,96,,personal experience,1,caused side effect,1,t14,true,1,author describes his negative experience with the drug.,1,taking the drug caused side effect.,"after three - four months i went off the <font color=""blue"">zoloft</font> because of <font color=""red"">weight gain</font>."
711477208,true,golden,87,,question,0.9602,caused side effect,1,t15,true,5,person asks about possible relation between drug and symptom.,1,person asks if taking drug could lead to side effect.,"did you have any <font color=""red"">weight gain</font> from <font color=""blue"">zoloft</font>?"
711477209,true,golden,95,,personal experience,1,caused side effect,0.9602,t16,true,1,the author explicitly relates to an event s/he personally experienced.,1,the author explicitly states experiencing a side-effect.,"tryed <font color=""blue"">cymbalta</font> and after 2 weeks could not take it due to <font color=""red"">headaches</font>."
711477210,true,golden,98,,personal experience,1,is prescibed for,0.8398,t17,true,1,the author explicitly relates to an event s/he experienced personally.,2,there is an explicit statement of drug administration.,"i took <font color=""blue"">atenolol</font> as a teen for <font color=""red"">tachycardia</font>."
