r,g,b,rgb,spanish,en_es,russian,en_ru,german,en_de,french,en_fr,chinese,en_zh,italian,en_it,korean,en_ko,japanese,en_ja,name,short_name,med_name,cx,cy
0,1,91,191,azul,blue,  _ ______   _ ___ __,dark blue,dunkelblau,dark blue,id7 nuit,midnight blue,     _,blue,blu scuro,blue,    _    ,blue,   ,blue,very very dark blue,navy,navy blue,284.05,237.41
0,14,56,1456,azul negro,black blue,  _ ______-  _ ___ __,dark blue,dunkelblau,dark blue,id7 nuit fonc  ,dark blue night,     _,black,nero perla,blue, __   ,navy,         ,dark blue,midnight black,navy,boatneck blue,283.01,275.81
2,0,40,2040,negro,black,  _ ______-  _ ___ __,dark blue,schwarz,black,noir,black,     _,black,blu scuro,dark blue, _    ,black,            ,black,night over the sea,black,underblue,292.65,296.06
0,220,2,2202,verde,green,_ _ _   __  __,green,leuchtend hellgr _n,bright green light,vert,green,   ,green,verde,green,  _   ,green,      ,yellow-green,briliant key lime,lime,bright green,232.47,440.44
0,27,23,2723,negro,black,      __  __,black,dunkel petrol,dark petrol,noire,black,     _,black,nero,black, _       ,black,   ,black,midnight forest,black,black,317.67,254.82
2,8,91,2891,azul oscuro,dark blue,  _ ______-  _ ___ __,dark blue,blau,blue,id7,blue,        _,navy blue,blu,blue,         ,blue,         ,dark blue,dark navy blue,navy,navy blue,280.09,244.54
2,94,4,2944,verde,fluorescent green,_ _ _   __  __,green,gr _n,green,vert,green,     _,green,verde,green,  _ _         _   ,very dark green,     _,green,woodsman green,green,forest green,273.78,320.07
5,76,0,5760,verde oscuro,dark green,  _ ______-_ _ _ _ __  __,dark green,grasgr _n,grass green,vert,green,     _,green,olive,green,  _   ,green,     _,green,asparagus green,olive,olive,297.72,310.6
83,4,7,8347,granate,garnet,____  _   ___ __  __,brown,rotbraun,maroon,marron,brown, _   _,brown,marrone,brown,      ,brown,     _,brown,rich chocolate,brown,blood,372.79,281.07
0,96,20,9620,verde,green,_   ______-_ _ _   __  __   __  __  __,dark green succulent,gr _n,green,vert,green,     _,grass,verde scuro,green,     _   ,dark green,     _           _  _,dark green,light hunter green,evergreen,hunter green,280.68,321.44
9,75,5,9755,verde musgo,moss green,  _ ______-_ _ _ _ __  __,dark green,dunkelgr _n,dark green,vert tr  s fonc  ,very dark green,     _,green,verde,green,  _   ,green,      ,dark green,buckingham green,green,pine green,286.6,311.17
105,5,4,10554,vino,wine,_ __  _ __,wine,braun,brown,bordeaux,burgundy,     _,brown,rosso,red, _       ,red,     _  _  _,burgundy,dark red lipstick,brown,deep burgendy,393.01,292.92
10,60,5,10605,verde oscuro,dark green,_ _ _ _ __  __,green,grasgr _n,grass green,vert,green,        _,dark green,verde scuro,dark green,  _   ,green,        _,green,deep forest green,sage,dark green,298.43,317.29
1,33,97,13397,color azul oscuro,dark blue,  _ ___ __,blue,dunkelblau,dark blue,id7 fonc  ,dark blue,        _,navy blue,celo,blue,    _ ,blue,   ,indigo,royal navy blue,navy,darken blue,262.32,247.52
13,59,2,13592,verde olivo oscuro,dark olive green,  _ ______-_ _ _ _ __  __,dark green,schwarzgr _n,black green,vert bouteille,bottle green,     _,green,verde,green,  _   ,green,   ,green,dark forest green,green,forest green,305.06,310.42
141,0,2,14102,rojo vino,red wine,_   _   ____-_ __  _   ___ __  __,red-brown,rot,red,id8,red, _      _,dark red,marrone,red, __      ,brick,        _,deep red,deep burnt orange,red,old barn red,431.88,274.72
1,4,143,14143,azul de prusia,prussian blue,  _ ______   _ ___ __,dark blue,dunkelblau,dark blue,id7,blue,   ,blue,blu scuro,dark blue,    _ ,blue, _       ,dark blue,dark blue purple,blue,royal blue,265.12,205.66
